N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
207;"Мемориальная доска основателю театра ""Колесо"" народному артисту России Г.Б. Дроздову";Ул. Ленинградская, 31 (земельный участок с кадастровым номером 63:09:0301164:517);Муниципальная собственность. Бессрочное пользование;
208;Мемориальная доска на здании, в котором работал председатель горисполкома г. Тольятти орденоносец Б.С. Кашунин;Ул. Гидростроевская, 17 (земельный участок с кадастровым номером 63:09:0301104:13);Федеральная собственность;
209;Мемориальная доска на школе, где учился А. Ануфриев, участник чеченской войны;Ул. Голосова, 34, фасад здания МОУ СОШ N 5 (земельный участок с кадастровым номером 63:09:0301155:523);Муниципальная собственность. Бессрочное пользование;
210;Мемориальная доска дважды Герою Советского Союза И.Д. Папанину;Мкр Портовый, фасад здания Института экологии РАН Волжского бассейна;Федеральная собственность;
211;"Памятная доска, обозначающая здание, в котором в 1954 - 1984 гг. располагалось управление ""Куйбышевгидрострой""";Ул. Гидростроевская, 17 (земельный участок с кадастровым номером 63:09:0301104:13);Федеральная собственность;
212;Мемориальная доска Н.Ф. Семизорову - Герою Социалистического Труда;Ул. Баныкина, 4, фасад здания МОУ СОШ N 16 (земельный участок с кадастровым номером 63:09:0301164:566);Муниципальная собственность. Бессрочное пользование;
213;Доска на здании, где работал архитектор С.М. Виноград;Ул. Белорусская, 6А (земельный участок с кадастровым номером 63:09:0301106:1);Аренда, договор N 849 от 04.12.2003;
214;Мемориальная доска основателю и первому директору Куйбышевской биологической станции ИБВВ АН СССР Н.А. Дэюбану;Мкр Портовый, фасад здания Института экологии РАН Волжского бассейна;Федеральная собственность;
215;Монумент-памятник на месте захоронения капсулы с обращением комсомольцев к молодежи 2017 года;Пересечение Молодежного б-ра и ул. К. Маркса, территория Молодежного бульвара;Государственная собственность не разграничена;
216;Памятный знак в честь Победы в Великой Отечественной войне;Пересечение ул. Победы и Молодежного бульвара;Государственная собственность не разграничена;
217;"Мемориальный комплекс ""Учащимся, погибшим в годы Великой Отечественной войны"" (доска с 84 фамилиями, самолет МИГ-16 (в память об экипаже В.П. Носова)";Ул. Мира, 121, территория МБУ СОШ N 1 (земельный участок с кадастровым номером 63:09:0301154:503);Муниципальная собственность. Бессрочное пользование;
218;Памятник-бюст В. Жилина - Героя Советского Союза;Центральный район, на территории городского кладбища, южнее ул. Баныкина, 6 (земельный участок с кадастровым номером 3:09:0308008:502);Муниципальная собственность;Ул. Баныкина, 41
219;Памятник-стела воинам-интернационалистам;Центральный район, на территории городского кладбища, южнее пересечения ул. Баныкина и ул. Диагональной (земельный участок с кадастровым номером 63:09:0308008:502);Муниципальная собственность;Ул. Баныкина, 41
220;Пояснение названия улицы именем Героя Советского Союза, участника Великой Отечественной войны 1941 - 1945 гг. Д.Н. Голосова;Ул. Голосова, 20 (земельный участок с кадастровым номером 63:09:0301152:620);Общая долевая собственность многоквартирного жилого дома по ул. Голосова, 20;
221;"Памятный знак жертвам политических репрессий ""Скорбящий ангел""";Парк культуры и отдыха Центрального района (земельный участок с кадастровым номером 63:09:0305001:523);"Муниципальная собственность. В бессрочном пользовании МБУ ""Парки города""";
222;Памятная доска о строительстве школы в год 60-летия образования СССР;Ул. Баныкина, 44, фасад здания МОУ СОШ N 63 (земельный участок с кадастровым номером 63:09:0301155:501);Муниципальная собственность. В бессрочном пользовании;
